imputation_method,dataset,missing_strategy,missing_pct,mse,mae
DLLM,heloc_DLLM,MAR,10,1261.3154245728556,15.473613691813803
DLLM,heloc_DLLM,MAR,25,1490.0334325390245,14.702032739328635
DLLM,heloc_DLLM,MAR,40,1482.3991379514355,18.02138249276062
DLLM,heloc_DLLM,MCAR,10,1506.866585818647,15.503890819572792
DLLM,heloc_DLLM,MCAR,25,202.28624011016214,6.9259728926847375
DLLM,heloc_DLLM,MCAR,40,1586.0102553150198,15.560828410021992
DLLM,heloc_DLLM,MNAR,10,1962.0388571306137,16.70614501199863
DLLM,heloc_DLLM,MNAR,25,1365.4986707331338,14.630174834264915
DLLM,heloc_DLLM,MNAR,40,1293.0257532483326,13.008315215388585
