imputation_method,dataset,missing_strategy,missing_pct,train_file,holdout_file,train_rows,holdout_rows,accuracy,f1_score
DLLM,heloc_DLLM,MAR,10,heloc_DLLM_discriminative_train_MAR_10.csv,heloc_DLLM_holdout.csv,2958,2959,0.708009,0.699164
DLLM,heloc_DLLM,MAR,25,heloc_DLLM_discriminative_train_MAR_25.csv,heloc_DLLM_holdout.csv,2958,2959,0.696181,0.676967
DLLM,heloc_DLLM,MAR,40,heloc_DLLM_discriminative_train_MAR_40.csv,heloc_DLLM_holdout.csv,2958,2959,0.699899,0.691238
DLLM,heloc_DLLM,MCAR,10,heloc_DLLM_discriminative_train_MCAR_10.csv,heloc_DLLM_holdout.csv,2958,2959,0.714431,0.698106
DLLM,heloc_DLLM,MCAR,25,heloc_DLLM_discriminative_train_MCAR_25.csv,heloc_DLLM_holdout.csv,2958,2959,0.703616,0.684419
DLLM,heloc_DLLM,MCAR,40,heloc_DLLM_discriminative_train_MCAR_40.csv,heloc_DLLM_holdout.csv,2958,2959,0.697195,0.661376
DLLM,heloc_DLLM,MNAR,10,heloc_DLLM_discriminative_train_MNAR_10.csv,heloc_DLLM_holdout.csv,2958,2959,0.705982,0.690832
DLLM,heloc_DLLM,MNAR,25,heloc_DLLM_discriminative_train_MNAR_25.csv,heloc_DLLM_holdout.csv,2958,2959,0.708685,0.694759
DLLM,heloc_DLLM,MNAR,40,heloc_DLLM_discriminative_train_MNAR_40.csv,heloc_DLLM_holdout.csv,2958,2959,0.70463,0.697159
